clean_tweet,Volume,Polarity,target
Biggest Losers 1 hr Bitcoin Standard Hashrate Token BTCST 5 84 MaidSafeCoin MAID 5 52 SwissBorg,0.06063015,0.022727273,0
Top 5 Cryptocurrencies Current Prices Bitcoin BTC 60 156 99 0 09 Ethereum ETH 2 151 34 0 44 Bina,0.90972801,0.056060606,-18.669608
on the 04 12 2021 at 09 00 1BTC was worth 60061 00 Bitcoin Crypto BotcoinUSD Bitfinex,0.39007825,0.056060606,1
New Bitcoin block 00 840be452159338efb634b29c6fe133f64287a825d574c 2469 transactions transferred a total of 8871,1.96071919,0.083333333,-13
The current price of bitcoin is 60 105 00 It has increased by 0 796 in the last 24 hours bitcoin btc cryptocurrency,2.26917854,0.083333333,0
RT How to Use the BZ Telegram Bot to Trade Bitcoin in Kenya You will be able to learn how to buy amp sell Bitcoin Ethereum u,1.8063834,0,-26
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,1.01306313,0.023809524,-28
The current price of Bitcoin is 60038 00 The current price of BCash is 672 36 or 0 01119891 BTC The current pr,0.63369112,0,17
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,0.53618214,0.045454545,-23.557
1 Bitcoin price is 59971 16 0 14 1h 2 Ethereum price is 2146 57 0 25 1h 3 Binance Coin price is 595 94,3.14737038,0.166666667,-36.443
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,1.32710966,0,7
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,3.09905944,0.311111111,115
RT defi Pre sale live Official time 10 00 Apr 06 2021 05 00 Apr 15 2021 UTC Pre sale Price 1 BALL 0 078 BNB Release Price,9.35068282,0.2,120
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,9.0210846,0.022727273,45
avax AVAXUSD avaxusdt Avalanche coin binance Bitcoin elliot elliott Elliottwave ew EW Avax Avalanche U,8.17725179,0.045454545,-20
RT avax AVAXUSD avaxusdt Avalanche coin binance Bitcoin elliot elliott Elliottwave ew EW Avax Avalanche Usdt Usdc,6.06037978,0.283333333,-42
Every hour past 00 and 30 we will tweet CryptoCurrency Market Report in USD and every hour past 15 and 45 we wil,5.34921765,0.170454545,-37
RT avax AVAXUSD avaxusdt Avalanche coin binance Bitcoin elliot elliott Elliottwave ew EW Avax Avalanche Usdt Usdc,25.32321343,0.084343434,68
CAB Kiosk Cynthia Abrafi Bitcoin Virtual Investment Store 1 20 50 100 200 500 1 000 Greater Toront,1.94649052,0.2,17
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,3.31082432,0.001666667,13
Amazon AMZN 6 00 Rewards Love It BTC ALGO Algorand The Blockchain For FutureFi Listen To My Album X Files Thi,0.25701283,0.001666667,-0.011572
I did a quick sniper shot on Amazon AMZN 6 00 Rewards Love It BTC ALGO Algorand The Blockchain For FutureFi L,2.62145144,0.045454545,38.011572
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,0.43673478,0.212121212,0
Crypto highlights as of 2021 04 12 18 00 02 Bitcoin 59 998 48 0 73 Ethereum 2 147 54 0 6,0.14354562,0.212121212,-0.99305349
The price of Spaghetti alla Carbonara is 18 337 Satoshis or 0 00018337 BTC 1 BTC 59 933 00 USD 1 USD 1 669 Sat,2.47125478,0.045454545,3.99305349
RT Amazon AMZN 6 00 Rewards Love It BTC ALGO Algorand The Blockchain For FutureFi Listen To My Album X Files This A,3.33698405,0.085,-42
RT I did a quick sniper shot on Amazon AMZN 6 00 Rewards Love It BTC ALGO Algorand The Blockchain For FutureFi List,0.92710422,0.212121212,36.75496
Top 5 Cryptocurrencies Current Prices BTC 60 090 80 Bitcoin 0 15 ETH 2 149 12 Ethereum 0 15,2.09306021,0.166666667,-1.75496
on the 04 12 2021 at 10 02 1BTC was worth 59961 00 Bitcoin Crypto BotcoinUSD Bitfinex,8.34038721,0.022727273,-20
The current price of bitcoin is 60 034 00 It has increased by 0 904 in the last 24 hours bitcoin btc cryptocurrency,0.368569,0.166666667,16.268344
Tue Apr 13 00 03 27 2021 19 33 USD 59 904 40 Wght 228 545 Blk 678 963 Size 1 340 8 Txs 2 255 Pool 49 980 79 4 MB bitcoin,3.55313565,0,-24.268344
Tue Apr 13 00 10 50 2021 7 23 USD 59 874 50 Wght 228 431 Blk 678 964 Size 1 108 8 Txs 990 Pool 50 537 79 0 MB bitcoin,4.43693362,0.2,-20
Tue Apr 13 00 13 20 2021 2 30 USD 59 902 91 Wght 228 539 Blk 678 965 Size 1 132 2 Txs 2 231 Pool 48 724 78 3 MB bitcoin,0.10174748,0.166666667,43
New Bitcoin block 00 92e532302e059f4851920013f9fd354de40d76a52bbc6 990 transactions transferred a total of 3604 2,9.73019183,0.045454545,10
The current price of Bitcoin is 59914 00 The current price of BCash is 673 18 or 0 01123577 BTC The current pr,0.05093229,0.045454545,1.0525797
1 Bitcoin equals 59 894 00 United States Dollar XRP ETH,0.19736532,0.045454545,-1.0525797
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,1.47250061,0.045454545,4
1 Bitcoin price is 59952 97 0 25 1h 2 Ethereum price is 2146 23 0 06 1h 3 Binance Coin price is 599 31,6.17639956,0.045454545,25
RT KickEX Deposit Contest Make a deposit from 10 USD in BTC ETH USDT and win 100 USDT 13 00 1st July 8 00 14th July,1.78463371,0.022727273,1
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,0.397992,0.212121212,32
Amazon AMZN 6 00 Rewards Love It BTC ALGO Algorand The Blockchain For FutureFi Listen To X Files This Album,8.71225788,0.178787879,78
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,1.69787206,0.045454545,-6
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,14.53515713,0.045454545,-16.86992
Amazon AMZN 6 00 Rewards Love It BTC ALGO Algorand The Blockchain For FutureFi Listen To My Album X Files Thi,1.85966136,0.090909091,17.86992
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,3.91686045,0.145454545,57
RT Safe Protocol SAFEP LISTING Safe Protocol SAFEP will be listed on April 15th at 20 00 KST,14.99329587,0.125,-61
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,11.20427394,0.170454545,-42
We did it lads that s an ATH of 100 000 00 per Bitcoin Pack it in time to hit saylor up for that 100k party,4.40928344,0.166666667,-28
Tue Apr 13 00 37 53 2021 24 33 USD 59 932 77 Wght 228 653 Blk 678 966 Size 1 437 1 Txs 2 304 Pool 51 010 79 1 MB bitcoin,3.4112619,0.045454545,-37
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,1.87889664,0,16
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,7.62821493,0.166666667,23
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,3.85458749,0.045454545,64
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,0.791724,0.090909091,0
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,1.18965905,0,23
Tue Apr 13 00 55 41 2021 17 48 USD 60 044 99 Wght 229 081 Blk 678 967 Size 1 400 9 Txs 1 753 Pool 52 551 80 7 MB bitcoin,2.21123219,0.045454545,-8
The price of Spaghetti alla Carbonara is 18 307 Satoshis or 0 00018307 BTC 1 BTC 60 030 10 USD 1 USD 1 666 Sat,4.86925289,0.166666667,-81
Top 5 Cryptocurrencies Current Prices BTC 60 100 19 Bitcoin 0 09 ETH 2 151 65 Ethereum 0 01,0.9060895,0.022727273,26
on the 04 12 2021 at 11 00 1BTC was worth 60091 00 Bitcoin Crypto BotcoinUSD Bitfinex,1.24069884,0.166666667,-27
Apr 12 2021 7 00 PM Bs2 276 210 VES USD 2 35 Avg 24h Bs2 214 641 VES USD Bs136 669 60M VES BTC 2 37,0.290831,-0.015656566,14
The current price of bitcoin is 60 044 00 It has decreased by 0 030 in the last 24 hours bitcoin btc cryptocurrency,0.04674556,0,-30
BRK A 402 620 00 and BTC 59 971 79 Do you really think that it can t go up I own none but if I could own one f,2.54702444,0.045454545,-39
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,1.14482932,0.022727273,25.061916
RT I wish I had kept my 1 700 BTC 0 06 instead of selling them at 0 30 now that they re 8 00 bitcoin,0.23932563,0.045454545,1.938084
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,8.84066168,0.045454545,4.462912
The current price of Bitcoin is 60049 00 The current price of BCash is 673 66 or 0 01121850 BTC The current pr,13.78183132,0.145454545,35.537088
1 Bitcoin price is 60068 12 0 16 1h 2 Ethereum price is 2150 37 0 18 1h 3 Binance Coin price is 601 19,3.13984053,0.045454545,17.70591672
RT Early in FB 2007 Early in 2011 Early in Bitcoin 2012 Early in AMZN 2014 Early in TSLA 2015 Early in S,1.51357671,0,62.29408328
RT defi Pre sale live Official time 10 00 Apr 06 2021 05 00 Apr 15 2021 UTC Pre sale Price 1 BALL 0 078 BNB Release Price,6.65316186,0.090909091,-27.74785996
The BTC price is at 59976 79 right now Compared to the last tweet the price has increased by 1 36 0 00,0.07704,0.045454545,-0.25214004
The Lizard GOD s Are Giving Out Gifts Amazon AMZN 6 00 Rewards Love It BTC ALGO Algorand The Blockchain For F,0.15199959,0.090909091,1
Reptilian Humanoid Is What I We Want To Gift You All Amazon AMZN 6 00 Rewards Love It BTC ALGO Algorand The B,1.1818838,0.045454545,-1
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,0.06172313,0.090909091,1
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,1.15736073,0.045454545,0
RT If Chainlink Hits 50 00 This Week Giving away 50 00 to every person that leaves a comment retweets and likes this,0.19677728,0.045454545,-0.714391
carter I just noticed on their website the amount of bitcoin per 1000 shares is actually 0 94 and not 1 00,0.20899263,0.045454545,0
